id_mun,combate_hambre,combate_hambre_y_leche,beneficiarios,mun,porcentaje_pea,poblacion_pea,porc_programa_hambre,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
13013,635,775,885,Atotonilco de Tula,3.69192,1289,0.7175141,0.49262995,0.68657875,0.60124129
13014,887,948,1307,Calnali,23.40758,3493,0.67865342,0.25393644,0.37417692,0.27139995
13015,525,569,734,Cardonal,6.5902,1126,0.71525884,0.46625221,0.65186501,0.5053286
13016,1964,2058,2350,Cuautepec de Hinojosa,11.91116,6143,0.83574468,0.3197135,0.38254926,0.33501548
13017,277,297,376,Chapantongo,13.37525,1564,0.73670214,0.17710997,0.24040921,0.1898977
13018,1394,1492,1814,Chapulhuacán,19.14886,4011,0.76846749,0.34754425,0.45225629,0.37197706
13019,507,555,792,Chilcuautla,14.73817,2233,0.6401515,0.22704881,0.35467979,0.24854456
13020,101,110,132,Eloxochitlán,11.2059,269,0.7651515,0.37546468,0.49070632,0.40892193
13021,707,785,909,Emiliano Zapata,4.42404,635,0.77777779,1.1133858,1.431496,1.2362205
13022,456,495,598,Epazoyucan,5.32326,794,0.76254183,0.57430732,0.75314862,0.62342572
13023,751,813,1029,Francisco I. Madero,6.70338,2170,0.72983479,0.34608296,0.47419354,0.37465438
13024,1087,1151,1308,Huasca de Ocampo,8.95951,1408,0.83103973,0.77201706,0.92897725,0.81747156
13025,889,928,1389,Huautla,28.07585,5845,0.64002877,0.15209581,0.23763901,0.15876818
13026,969,988,1274,Huazalingo,23.99835,2493,0.76059657,0.38868833,0.51103091,0.39630967
13027,2107,2179,2716,Huehuetla,38.28091,7688,0.77577317,0.27406347,0.35327783,0.28342873
13028,11705,11988,13689,Huejutla de Reyes,19.00772,22673,0.85506612,0.51625282,0.6037578,0.52873462
13029,690,794,880,Huichapan,7.56404,3556,0.78409094,0.19403824,0.24746907,0.22328459
13030,3513,3677,5540,Ixmiquilpan,13.13023,11365,0.63411552,0.30910692,0.48746151,0.32353717
13031,775,880,1117,Jacala de Ledezma,8.77771,1216,0.69382274,0.63733554,0.91858554,0.72368419
13032,794,832,953,Jaltocán,20.797,1901,0.83315843,0.4176749,0.50131512,0.43766439
13033,40,44,53,Juárez Hidalgo,13.96592,388,0.75471699,0.10309278,0.13659793,0.11340206
13034,385,393,513,Lolotla,18.53824,1754,0.75048733,0.21949829,0.29247433,0.2240593
13035,791,853,1043,Metepec,9.70892,1429,0.75838923,0.55353391,0.72988105,0.59692091
13036,270,284,315,San Agustín Metzquititlán,5.44767,577,0.85714287,0.46793762,0.54592723,0.49220103
13037,954,994,1118,Metztitlán,10.49944,1775,0.85330945,0.5374648,0.62985915,0.56
13038,618,724,828,Mineral del Chico,9.90033,689,0.74637681,0.89695209,1.2017417,1.0507983
13039,525,566,644,Mineral del Monte,6.15711,832,0.81521738,0.63100964,0.77403843,0.68028843
13040,377,434,524,La Misión,19.71906,1828,0.71946567,0.20623632,0.28665209,0.23741794
13041,1565,1653,1830,Mixquiahuala de Juárez,7.91945,3275,0.85519123,0.4778626,0.55877864,0.50473285
13042,558,573,623,Molango de Escamilla,11.34923,1255,0.89566612,0.4446215,0.49641433,0.45657369
13043,195,228,369,Nicolás Flores,20.8407,1342,0.52845526,0.14530551,0.27496275,0.16989568
13044,369,406,580,Nopala de Villagrán,12.59052,1908,0.63620692,0.19339623,0.30398324,0.21278825
13045,354,376,407,Omitlán de Juárez,11.26434,867,0.86977887,0.40830451,0.46943483,0.43367934
13046,1916,1986,3030,San Felipe Orizatlán,21.92347,7737,0.63234323,0.24764121,0.39162466,0.25668862
13047,253,294,396,Pacula,15.49174,722,0.6388889,0.3504155,0.54847646,0.40720221
13048,8360,9062,10575,Pachuca de Soto,2.96448,8818,0.79054374,0.94806081,1.1992515,1.0276706
13049,997,1184,1641,Pisaflores,23.77649,4054,0.60755634,0.24592994,0.40478539,0.29205722
13050,359,384,470,Progreso de Obregón,4.40045,817,0.76382977,0.43941247,0.57527542,0.47001225
13051,2593,3027,3583,Mineral de la Reforma,2.30934,3061,0.72369522,0.84710878,1.1705325,0.9888925
13052,909,1021,1165,San Agustín Tlaxiaca,7.79671,2712,0.78025752,0.335177,0.42957228,0.37647492
13053,2125,2186,2696,San Bartolo Tutotepec,29.95092,4463,0.78820473,0.47613713,0.60407799,0.48980507
13054,1104,1137,1513,San Salvador,7.75128,2915,0.72967613,0.37873071,0.51903945,0.39005145
