id_mun,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
16014,0.52315789,0.60473686,0.53210527
16015,1.0282258,1.0560484,1.0306451
16016,0.47668812,0.52974278,0.48070741
16017,0.17783718,0.25596216,0.18277138
16018,0.70988804,0.95242536,0.72294778
16019,0.70627308,0.73653138,0.70848709
16020,0.79103398,1.0480839,0.82176429
16021,0.67547387,0.74842048,0.68179208
16022,0.57819903,0.80568719,0.58945495
16023,0.62962961,0.66809118,0.63532764
16024,1.2051282,1.2959226,1.2126944
16025,0.7996434,0.87029195,0.81279254
16026,0.33274022,0.39768684,0.33807829
16027,0.556701,1.0283505,0.65463918
16028,2.375,2.4886363,2.375
16029,0.44848901,0.47149727,0.45192307
16030,0.44287395,1.0742049,0.52179033
16031,0.097920276,0.1135182,0.10051993
16032,0.44519392,0.93704331,0.48341766
16033,0.55475157,0.59816688,0.56005788
16034,0.4472596,0.48677388,0.45113227
16035,0.65942192,0.74971992,0.66928077
16036,1.0441177,1.0855615,1.0508021
16037,0.49882352,0.54588234,0.51058823
16038,0.3337656,0.41222242,0.34511265
16039,0.81481481,1.175926,0.85185188
16040,0.68264061,0.93887532,0.70220047
16041,0.41871583,0.42964482,0.41871583
16042,0.20564042,0.21856639,0.20681551
16043,0.20127982,0.22493698,0.20477022
16044,0.41712403,0.46981341,0.42480791
16045,0.86192214,0.91849148,0.87104625
16046,0.1782364,0.19512194,0.18339588
16047,0.33690605,0.40943193,0.34690961
16048,0.91519433,1.409894,0.95229679
16049,0.37277243,0.43499854,0.38241309
16050,0.48852915,0.53242141,0.4908666
16051,1.2484725,1.3238289,1.2606925
16052,0.99108636,1.0520494,1.0040588
16053,0.59431314,0.70683157,0.61309308
16054,0.37350994,0.41456953,0.38807946
16055,0.5018627,0.55596948,0.50718468
16056,0.50376219,0.65369791,0.52688569
16057,0.19092627,0.22495274,0.20368621
16058,0.74020618,0.76391751,0.74432987
16059,0.528817,0.60768455,0.53690594
16060,0.23893805,0.35103244,0.24778761
16061,0.60210097,0.72354597,0.61311811
16062,0.5,0.54901963,0.50634372
16063,0.47942522,0.5218811,0.48203787
16064,0.67030716,0.72047782,0.67406142
16065,1.0833143,1.3314259,1.1268024
16066,0.42206743,0.64597213,0.44659802
16067,0.62515569,1.022416,0.64321297
16068,0.43169165,0.48608136,0.44796574
16069,0.46108258,0.50632161,0.47076255
16070,0.72534144,0.7481032,0.72534144
16071,0.31031644,0.39242443,0.31878603
16072,0.69289166,0.74741203,0.69565219
16073,0.3334581,0.46257484,0.34917665
16074,0.6681574,0.72182471,0.67978531
16075,0.67528969,0.72500676,0.68108326
16076,0.59036458,0.69505209,0.60234374
16077,0.80338162,0.97391301,0.82946861
16078,0.49845916,0.55855161,0.51309705
16079,0.37672049,0.59218353,0.4180119
16080,0.18847622,0.20236029,0.18917042
16081,0.061236624,0.063020214,0.061831154
